Row Id,Issue Date,Year,Month,Dev. Type,File Num,Status,Case Type,Work Type,Chap. 245,Watershed,Existing Land Use,Proposed Land Use,Land Use Trans.,Limits of Construction (sqft),Site Area (sqft),Native Inches Surveyed,Native Inches Removed,Non-Native Inches Removed,Inches Replanted,Total Removed,Preserved,Net Difference,Preservation Percentile,Removal Percentile,Location,Council District,See Details,Property Id
10971561,08/12/2014,2014,8,Site Plan,SP-2013-0267D,Approved and Released,Site Plan Administrative,Utility Line,No,Harris Branch,Vacant,Utility Line,Vacant to Utility Line,,,529,127,0,0,127,402,127,0.75,0.65,"(-97.61079567, 30.36194122)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10971561,3047383
11398567,09/13/2016,2016,9,Site Plan,SP-2015-0353C,Approved and Released,Site Plan Administrative,Consolidated,No,Onion Creek,Vacant,Commercial,Vacant to Commercial,573772.32,573772.32,3417,1019,253,619,1272,2398,653,0.94,0.92,"(-97.70843858, 30.19723747)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11398567,122205
10611624,02/02/2012,2012,2,Site Plan,SP-2011-0176C,Approved and Released,Site Plan Administrative,Consolidated,No,Walnut Creek,Parking,Multi-Family/Retail,Parking to Multi-Family/Retail,148408.92,147668.4,89,0,0,0,0,89,0,0.52,0.18,"(-97.72345396, 30.40001739)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10611624,3334856
11691376,05/09/2018,2018,5,Site Plan,SP-2017-0099C,Approved and Released,Site Plan Administrative,Consolidated,No,Waller Creek,Single Family,Multifamily,Single Family  to Multifamily,10890,10890,48,20,62,20,82,28,62,0.41,0.57,"(-97.71559345, 30.33418573)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11691376,849812
10652765,09/18/2012,2012,9,Site Plan,SP-2011-0272C,Approved and Released,Site Plan Administrative,Consolidated,Yes,Country Club West,Vacant,Conv. Store,Vacant to Conv. Store,222156,222156,506,430,0,122.75,430,76,307.25,0.50,0.82,"(-97.72016625, 30.23177816)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10652765,838394
11569678,09/26/2017,2017,9,Subdivision,C8-06-0133.02.6B.SH,Subdivision Recorded,Subdivision Construction Plan,Concurrent,No,Onion Creek,Single Family,Single Family,Single Family  to Single Family,0,958320,0,0,0,0,0,0,0,0.18,0.18,"(-97.76199185, 30.15270949)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11569678,5379848
10960605,11/14/2014,2014,11,Site Plan,SP-2013-0210C,Approved and Released,Site Plan Administrative,Consolidated,Yes,East Bouldin Creek,Commercial,Mixed Use,Commercial to Mixed Use,39204,34673.76,151,65,150,26,215,86,189,0.52,0.73,"(-97.75254823, 30.25891011)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10960605,665192
10646693,05/16/2012,2012,5,Site Plan,SP-2011-0254C,Approved and Released,Site Plan Administrative,Consolidated,No,Onion Creek,Office,Office & C.E.C.,Office to Office & C.E.C.,123274.8,123274.8,729,157.5,0,0,157.5,571.5,157.5,0.80,0.69,"(-97.78907051, 30.15768499)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10646693,793916
11643093,03/12/2018,2018,3,Site Plan,SPC-2016-0567C,Approved and Released,Site Plan Commission,Consolidated,No,Boggy Creek,Public,Public,Public to Public,229125.6,757508.4,3656,246.5,21,280,267.5,3409.5,-12.5,0.96,0.76,"(-97.70869745, 30.27749383)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11643093,5382095
10894671,05/16/2014,2014,5,Subdivision,C8-04-0043.01.2B(R2),Approved and Released,Subdivision Construction Plan,Street/Drainage,No,Tannehill Branch,Vacant,ROW,Vacant to ROW,124146,130680,0,0,0,0,0,0,0,0.18,0.18,"(-97.69835472, 30.28955407)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10894671,233109
11266832,04/26/2016,2016,4,Site Plan,SP-2014-0508C,Approved and Released,Site Plan Administrative,Consolidated,No,Fort Branch,Vacant,Commercial Multi Family,Vacant to Commercial Multi Family,1281099.6,1245816,6375,5941,202,3349,6143,434,2794,0.76,0.99,"(-97.67636539, 30.29303494)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11266832,5118579
11644213,06/14/2018,2018,6,Site Plan,SP-2016-0573D,Approved and Released,Site Plan Administrative,"Bldg/Prkg,Clring,Cut/Fill,Spoil Disposal",No,Tannehill Branch,parking,private roadway,parking to private roadway,321908.4,321908.4,2970,333,18,0,351,2637,351,0.95,0.80,"(-97.71391681, 30.32574903)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11644213,195665
11689811,05/03/2018,2018,5,Site Plan,SP-2017-0092C,Approved and Released,Site Plan Administrative,Consolidated,No,East Bouldin Creek,Commercial,Commercial Multi Family,Commercial to Commercial Multi Family,62726.4,,515,108,9,78,117,407,39,0.75,0.64,"(-97.75565994, 30.24927426)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11689811,219230
11600300,12/18/2017,2017,12,Site Plan,SP-2016-0424C,Approved and Released,Site Plan Administrative,Consolidated,No,Tannehill Branch,Single Family,Condominium,Single Family  to Condominium,26571.6,26571.6,160,54,41,55,95,106,40,0.55,0.60,"(-97.68739619, 30.27707575)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11600300,327560
11705949,05/18/2018,2018,5,Site Plan,SP-2017-0133C,Approved and Released,Site Plan Administrative,Consolidated,Yes,Williamson Creek,Vacant,Commercial,Vacant to Commercial,307098,,50.5,11,0,5.5,11,39.5,5.5,0.43,0.37,"(-97.84366565, 30.19401015)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11705949,3516099
11355681,12/22/2015,2015,12,Site Plan,SP-2015-0236C,Approved and Released,Site Plan Administrative,Consolidated,No,Coldwater Creek,Aviation Services,Commercial,Aviation Services  to Commercial,131986.8,131986.8,469,39,66,31,105,430,74,0.76,0.61,"(-97.66550481, 30.21069691)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11355681,5205448
11761487,03/22/2018,2018,3,Site Plan,SP-2016-0194C(R1),Approved and Released,Site Plan Administrative,Consolidated,Yes,Williamson Creek,Vacant,Commercial,Vacant to Commercial,182952,,1411,116,0,200,116,1295,-84,0.90,0.63,"(-97.85895286, 30.24099482)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11761487,5306824
11252244,01/28/2016,2016,1,Site Plan,SP-2014-0468C,Approved and Released,Site Plan Administrative,Consolidated,No,Town Lake,Commercial,Mixed-Use/Residential,Commercial to Mixed-Use/Residential,47916,47916,187,144,77,0,221,43,221,0.44,0.74,"(-97.72013423, 30.26242443)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11252244,3083566
11053288,07/24/2014,2014,7,Subdivision,C8-2013-0034.BS,Subdivision Recorded,Subdivision Construction Plan,Non-Concurrent,No,Williamson Creek,Vacant,Single Family,Vacant to Single Family,0,43560,0,0,0,0,0,0,0,0.18,0.18,"(-97.85579479, 30.2269836)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11053288,5055932
11109874,06/04/2015,2015,6,Site Plan,SP-2014-0104C,Approved and Released,Site Plan Administrative,Consolidated,No,Waller Creek,Vacant,MULTIFAMILY RESIDENTIAL,Vacant to MULTIFAMILY RESIDENTIAL,70567.2,70567.2,97.25,97.25,19,27,116.25,0,89.25,0.18,0.63,"(-97.73238756, 30.26745265)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11109874,5091483
10747549,10/25/2012,2012,10,Site Plan,SP-2012-0123D,Approved and Released,Site Plan Administrative,"Bldg/Prkg,Clring,Cut/Fill,Spoil Disposal",No,Boggy Creek,Commercial,Commercial,Commercial to Commercial,31711.68,31711.68,0,0,0,0,0,0,0,0.18,0.18,"(-97.69893363, 30.27592727)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10747549,257066
11090274,01/26/2015,2015,1,Subdivision,C8-2013-0015.1B,Subdivision Recorded,Subdivision Construction Plan,Non-Concurrent,No,Bull Creek,Single Family,Single Family,Single Family  to Single Family,108900,130680,166,20,0,20,20,146,0,0.60,0.41,"(-97.78004812, 30.42166016)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11090274,89515
11633142,02/21/2018,2018,2,Site Plan,SP-2016-0531C.SH,Approved and Released,Site Plan Administrative,Consolidated,No,Shoal Creek,Commercial Multi-Family,STUDENT HOUSING,Commercial Multi-Family to STUDENT HOUSING,6969.6,6995.736,121,121,34.5,0,155.5,0,155.5,0.18,0.68,"(-97.74791382, 30.28523913)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11633142,310040
11183009,02/06/2015,2015,2,Site Plan,SP-98-0358CX(R4),Approved and Released,Site Plan Administrative,School Project,No,Shoal Creek,School,999,School  to 999,0,145769.184,1200,109.5,0,132,109.5,1090.5,-22.5,0.88,0.62,"(-97.75392083, 30.37635767)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11183009,247985
11452616,07/20/2016,2016,7,Site Plan,SP-2015-0546C,Approved and Released,Site Plan Administrative,Consolidated,No,Lake Creek,Vacant,Commercial,Vacant to Commercial,318423.6,318423.6,775,617,0,0,617,158,617,0.61,0.86,"(-97.78322717, 30.474704)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11452616,5308732
11628885,12/12/2017,2017,12,Site Plan,SP-2016-0518C,Approved and Released,Site Plan Administrative,Consolidated,No,Tannehill Branch,Surface Parking Lot,Commercial Multi Family,Surface Parking Lot to Commercial Multi Family,163350,163350,191,18,0,10,18,173,8,0.62,0.40,"(-97.71519013, 30.32576083)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11628885,5415831
11112997,09/17/2014,2014,9,Site Plan,SP-2014-0113C,Approved and Released,Site Plan Administrative,Consolidated,No,West Bouldin Creek,Vacant,Condominium,Vacant to Condominium,,,694,317,0,0,317,377,317,0.74,0.79,"(-97.75323992, 30.25829457)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11112997,3347187
10969235,01/23/2014,2014,1,Site Plan,SP-2013-0231C,Approved and Released,Site Plan Administrative,Consolidated,No,Country Club East,Commercial Multi-Family,Commercial Multi Family,Commercial Multi-Family to Commercial Multi Family,50965.2,160300.8,105,0,25,0,25,105,25,0.55,0.43,"(-97.70290504, 30.23560649)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10969235,3388157
11496612,11/22/2016,2016,11,Site Plan,SP-2016-0120C,Approved and Released,Site Plan Administrative,Consolidated,Yes,Williamson Creek,Vacant,Condominium,Vacant to Condominium,0,60548.4,853,251,0,115,251,602,136,0.81,0.75,"(-97.88135415, 30.21325575)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11496612,5293858
11479758,10/28/2016,2016,10,Site Plan,SP-2016-0049C,Approved and Released,Site Plan Administrative,Consolidated,No,Shoal Creek,Commercial,Commercial,Commercial to Commercial,471754.8,475239.6,869,159,27,0,186,710,186,0.83,0.71,"(-97.72029126, 30.35227694)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11479758,5315322
11317342,09/24/2015,2015,9,Site Plan,SP-2013-0101C(R2),Approved and Released,Site Plan Administrative,Consolidated,Yes,Town Lake,Vacant,"Mixed Use, Restaurant, Residential, Parking Garage","Vacant to Mixed Use, Restaurant, Residential, Parking Garage",32887.8,32887.8,35,35,70,35,105,0,70,0.18,0.61,"(-97.73904571, 30.25839263)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11317342,92594
10817872,02/13/2013,2013,2,Site Plan,SP-2012-0280C.SH,Approved and Released,Site Plan Administrative,Consolidated,No,Shoal Creek,Vacant,Commercial Multi Family,Vacant to Commercial Multi Family,0,60984,32,32,0,8,32,0,24,0.18,0.45,"(-97.74618805, 30.28329557)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10817872,474776
11612658,04/20/2017,2017,4,Site Plan,SP-97-0135C(R1),Approved and Released,Site Plan Administrative,Consolidated,No,Town Lake,Commercial,Commercial,Commercial to Commercial,77885.28,77885.28,0,0,0,0,0,0,0,0.18,0.18,"(-97.74405836, 30.26309809)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11612658,624752
10908761,02/20/2014,2014,2,Site Plan,SP-2013-0077D,Approved and Released,Site Plan Administrative,"Bldg/Prkg,Clring,Cut/Fill,Spoil Disposal",No,South Boggy Creek,Vacant,Driveway,Vacant to Driveway,90169.2,1680544.8,0,551,32,320,583,-551,263,0.00,0.85,"(-97.70226357, 30.33418934)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10908761,128228
11667045,05/30/2017,2017,5,Site Plan,SP-2014-0146C(R1),Approved and Released,Site Plan Administrative,Consolidated,Yes,Harris Branch,Vacant,Commercial,Vacant to Commercial,476982,476982,0,0,0,0,0,0,0,0.18,0.18,"(-97.66801133, 30.42930098)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11667045,5000367
11278955,12/09/2015,2015,12,Site Plan,SP-2015-0020C.SH,Approved and Released,Site Plan Administrative,Consolidated,No,Williamson Creek,Vacant,Commercial Multi Family,Vacant to Commercial Multi Family,354012.12,354012.12,976,419,107,234,526,557,292,0.79,0.84,"(-97.7778612, 30.19084387)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11278955,3308029
10863385,07/24/2013,2013,7,Site Plan,SP-2012-0401C,Approved and Released,Site Plan Administrative,Consolidated,No,Shoal Creek,Multi-Family,Multi-Family,Multi-Family to Multi-Family,0,9583.2,0,0,0,0,0,0,0,0.18,0.18,"(-97.74969264, 30.28765954)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10863385,389912
10678956,06/25/2012,2012,6,Subdivision,C8-2010-0051.3B,Subdivision Recorded,Subdivision Construction Plan,Concurrent,No,Walnut Creek,Vacant,"SF, ROW, PUB","Vacant to SF, ROW, PUB",603306,696960,0,0,0,0,0,0,0,0.18,0.18,"(-97.67169586, 30.38851923)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10678956,3156023
10641725,02/10/2012,2012,2,Site Plan,SP-2011-0245C.SH,Approved and Released,Site Plan Administrative,Consolidated,No,Town Lake,Commercial,Commercial Multi Family,Commercial to Commercial Multi Family,21605.76,21344.4,12,12,0,6,12,0,6,0.18,0.38,"(-97.76406162, 30.253697)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10641725,94155
11535392,10/31/2016,2016,10,Subdivision,C8-2013-0092.01.3B,Subdivision Recorded,Subdivision Construction Plan,Non-Concurrent,Yes,Marble Creek,Vacant,Single Family,Vacant to Single Family,611974.44,609840,0,0,0,0,0,0,0,0.18,0.18,"(1000000000000000000000000000000, 1000000000000000000000000000000)",,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11535392,8692
11669325,03/26/2018,2018,3,Site Plan,SP-01-0517C(R3),Approved and Released,Site Plan Administrative,Consolidated,No,Gilleland Creek,Commercial,Commercial,Commercial to Commercial,316681.2,316681.2,0,0,0,0,0,0,0,0.18,0.18,"(-97.6685824, 30.46731726)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11669325,228408
11496540,03/30/2017,2017,3,Site Plan,SP-2016-0117C,Approved and Released,Site Plan Administrative,Consolidated,No,Wilbarger Creek,Commercial,Commercial,Commercial to Commercial,42684.444,42684.444,0,0,0,0,0,0,0,0.18,0.18,"(-97.79117005, 30.22983661)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11496540,5318064
11334694,09/02/2015,2015,9,Site Plan,SPC-2015-0179C,Approved and Released,Site Plan Commission,Consolidated,Yes,Block Creek,Commercial,Commercial,Commercial to Commercial,640332,639765.72,0,0,0,0,0,0,0,0.18,0.18,"(-97.84012097, 30.43341718)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11334694,3084178
11087487,10/14/2014,2014,10,Site Plan,SP-2014-0048D,Approved and Released,Site Plan Administrative,Drainage and Channel Improvements,No,Dry Creek East,Vacant,Drainage and Channel Improvements,Vacant to Drainage and Channel Improvements,39766011.12,39766011.12,153.5,28,0,200,28,125.5,-172,0.57,0.44,"(-97.64794257, 30.13273913)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11087487,5088546
11850540,05/04/2018,2018,5,Site Plan,SP-2018-0020C.CP,Approved and Released,Site Plan Administrative,Consolidated,No,East Bouldin Creek,"Mixed Use SF, GR",Mixed Use -  Complete Propsed Use below,"Mixed Use SF, GR to Mixed Use -  Complete Propsed Use below",176853.6,,0,0,0,0,0,0,0,0.18,0.18,"(-97.74865605, 30.25142463)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11850540,156841
11755402,12/20/2017,2017,12,Site Plan,SP-2017-0258D,Approved and Released,Site Plan Administrative,Utility Line,No,Shoal Creek,Vacant,Utility Line,Vacant to Utility Line,76177.728,76177.728,0,0,0,0,0,0,0,0.18,0.18,"(-97.74588188, 30.2733601)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11755402,5422889
11097869,04/21/2015,2015,4,Site Plan,SP-2014-0072C,Approved and Released,Site Plan Administrative,Consolidated,Yes,Walnut Creek,Vacant,Commercial,Vacant to Commercial,121532.4,121532.4,401,0,0,0,0,401,0,0.75,0.18,"(-97.7044849, 30.39146324)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11097869,92915
10948105,09/26/2013,2013,9,Site Plan,SP-2013-0178D,Approved and Released,Site Plan Administrative,"Bldg/Prkg,Clring,Cut/Fill,Spoil Disposal",No,Slaughter Creek,Vacant,Commercial,Vacant to Commercial,0,172497.6,0,0,0,0,0,0,0,0.18,0.18,"(-97.83036368, 30.16754379)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10948105,204253
11557347,03/10/2017,2017,3,Site Plan,SP-2016-0301DS,Approved and Released,Site Plan Administrative Small Project,Street/Drainage,No,Town Lake,Commercial,Commercial,Commercial to Commercial,6316.2,6316.2,145,0,0,0,0,145,0,0.59,0.18,"(-97.71084748, 30.25495384)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11557347,5354342
11468996,05/23/2017,2017,5,Site Plan,SP-2016-0008C,Approved and Released,Site Plan Administrative,Consolidated,No,Boggy Creek,Vacant,Commercial Multi Family,Vacant to Commercial Multi Family,27442.8,25264.8,211,124,0,37.5,124,87,86.5,0.52,0.65,"(-97.71101861, 30.27560858)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11468996,92671
11730565,03/07/2018,2018,3,Site Plan,SP-2017-0194C,Approved and Released,Site Plan Administrative,Consolidated,No,Walnut Creek,Vacant,Commercial Multi Family,Vacant to Commercial Multi Family,99491.04,,474,258,0,173,258,216,85,0.66,0.76,"(-97.72181371, 30.39549251)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11730565,5416728
10904646,05/22/2014,2014,5,Site Plan,SP-2013-0068D,Approved and Released,Site Plan Administrative,Utility Line,No,Taylor Slough South,Single Family,Single Family,Single Family  to Single Family,,,32,0,0,16,0,32,-16,0.42,0.18,"(-97.76431909, 30.30150169)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10904646,416948
10964516,03/18/2014,2014,3,Site Plan,SP-2013-0222CF.2,Approved and Released,Site Plan Administrative,Consolidated,No,Town Lake,Commercial,Commercial,Commercial to Commercial,88426.8,88426.8,0,0,0,50,0,0,-50,0.18,0.18,"(-97.74219605, 30.26705054)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10964516,5070521
11471458,07/29/2016,2016,7,Site Plan,SPC-2016-0258C,Approved and Released,Site Plan Administrative,Consolidated,No,Barton Creek,Office,Office,Office  to Office,166834.8,1990692,4883,1151,56,644.5,1207,3732,562.5,0.97,0.92,"(-97.84151062, 30.24357439)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11471458,3290532
11454042,06/09/2016,2016,6,Subdivision,C8-06-0232.01.2B,Subdivision Recorded,Subdivision Construction Plan,Concurrent,No,Gilleland Creek,Vacant,"SF, PUB, ROW","Vacant to SF, PUB, ROW",512134.92,522720,101,0,0,0,0,101,0,0.54,0.18,"(1000000000000000000000000000000, 1000000000000000000000000000000)",,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11454042,13286
10948755,12/03/2013,2013,12,Site Plan,SP-2013-0180C,Approved and Released,Site Plan Commission,Consolidated,No,West Bouldin Creek,Retail,Restaurant,Retail  to Restaurant,9713.88,9713.88,0,0,0,1.5,0,0,-1.5,0.18,0.18,"(-97.76327858, 30.25395551)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10948755,732332
11307976,12/28/2015,2015,12,Site Plan,SP-2015-0114C,Approved and Released,Site Plan Administrative,Consolidated,No,Tannehill Branch,Vacant,Office/Restaurant,Vacant to Office/Restaurant,24829.2,24829.2,0,0,0,0,0,0,0,0.18,0.18,"(-97.70533766, 30.29812384)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11307976,5135003
11481604,02/03/2017,2017,2,Site Plan,SP-2016-0058C,Approved and Released,Site Plan Administrative,Consolidated,No,East Bouldin Creek,Vacant,Commercial,Vacant to Commercial,0,72919.44,93,0,0,18,0,93,-18,0.53,0.18,"(-97.75549461, 30.23579438)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11481604,172360
11090634,09/08/2014,2014,9,Site Plan,SP-2014-0058C,Approved and Released,Site Plan Administrative,Consolidated,No,Town Lake,Commercial,Commercial,Commercial to Commercial,4181.76,3680.82,0,0,0,0,0,0,0,0.18,0.18,"(-97.74196211, 30.27158175)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11090634,92186
11418594,02/06/2018,2018,2,Site Plan,SP-2015-0418D,Approved and Released,Site Plan Administrative,"Bldg/Prkg,Clring,Cut/Fill,Spoil Disposal",No,Cottonmouth Creek,Vacant,"Roadway, utilities, pond","Vacant to Roadway, utilities, pond",0,1593599.04,611,557.5,0,337.75,557.5,53.5,219.75,0.46,0.85,"(-97.72569655, 30.16206303)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11418594,5056904
11420183,03/09/2017,2017,3,Site Plan,SPC-2015-0427C,Approved and Released,Site Plan Commission,Consolidated,No,Williamson Creek,Single Family,Private School,Single Family  to Private School,297950.4,247420.8,5416,899.5,10.5,516.5,910,4516.5,393.5,0.97,0.90,"(-97.82996888, 30.20784321)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11420183,875774
10979190,02/19/2014,2014,2,Site Plan,SPC-2013-0257C,Approved and Released,Site Plan Commission,Withdraw and Resubmit,Yes,Lake Travis,Vacant,Retail/Restaurant/Hotel,Vacant to Retail/Restaurant/Hotel,63597.6,335716.92,4724,2649,9,1426,2658,2075,1232,0.94,0.97,"(-97.85386877, 30.40520644)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10979190,3503529
11558927,10/16/2017,2017,10,Site Plan,SP-2016-0308C.SH,Approved and Released,Site Plan Administrative,Consolidated,No,Onion Creek,Vacant,Commercial Multi Family,Vacant to Commercial Multi Family,624650.4,624650.4,2901,1780,606,945,2386,1121,1441,0.88,0.97,"(-97.76304291, 30.15200391)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11558927,5356542
11266233,07/13/2015,2015,7,Site Plan,SP-2014-0504DS,Approved and Released,Site Plan Administrative Small Project,"Bldg/Prkg,Clring,Cut/Fill,Spoil Disposal",No,Walnut Creek,Vacant,Streets and Drainage,Vacant to Streets and Drainage,14113.44,14113.44,583,29,18,0,47,554,47,0.79,0.49,"(-97.7038762, 30.42917244)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11266233,5118351
11149863,07/09/2015,2015,7,Site Plan,SP-2014-0185C.SH,Approved and Released,Site Plan Administrative,Consolidated,No,Shoal Creek,Mixed use,Mixed use,Mixed use to Mixed use,0,25386.768,241,154,8,0,162,87,162,0.52,0.69,"(-97.74277968, 30.2893199)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11149863,260925
10870898,06/02/2014,2014,6,Site Plan,SP-2012-0424C,Approved and Released,Site Plan Administrative,Consolidated,Yes,West Bouldin Creek,Vacant,Condominium/MF,Vacant to Condominium/MF,65340,65340,0,0,0,0,0,0,0,0.18,0.18,"(-97.75664613, 30.26032242)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10870898,3076078
11294791,10/12/2015,2015,10,Site Plan,SP-2015-0078C,Approved and Released,Site Plan Administrative,Consolidated,No,Colorado River,Single Family,Commercial Multi Family,Single Family  to Commercial Multi Family,23086.8,23086.8,483,74.5,24,36,98.5,408.5,62.5,0.76,0.60,"(-97.70673678, 30.25554709)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11294791,5124169
11440438,06/09/2017,2017,6,Site Plan,SP-2015-0495C,Approved and Released,Site Plan Administrative,Consolidated,No,Town Lake,Vacant,Commercial,Vacant to Commercial,29054.52,29054.52,91,91,9,23.5,100,0,76.5,0.18,0.61,"(-97.72284757, 30.26169001)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11440438,402272
10741660,07/17/2012,2012,7,Site Plan,SP-2011-0169C(R1),Approved and Released,Site Plan Administrative,Consolidated,No,Blunn Creek,Vacant,MF-4 (Single Family Garden Homes),Vacant to MF-4 (Single Family Garden Homes),45302.4,46609.2,1024,617,0,227,617,407,390,0.75,0.86,"(-97.74333896, 30.2501017)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10741660,3430928
10951543,01/16/2014,2014,1,Site Plan,SP-2013-0186D,Approved and Released,Site Plan Administrative,Utility Line,No,Barton Creek,Vacant,Utility Line,Vacant to Utility Line,,,0,0,0,0,0,0,0,0.18,0.18,"(-97.93092042, 30.30214748)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10951543,5068516
